ID,mox,mox_FDR,moxYG,moxYG_FDR,logCPM
YBL021C,0.545151272,0.199470348,0.661749878,0.098518515,2.926501243
YBL022C,0.405404762,0.286417344,0.09812477,0.871864461,4.267353261
YBL023C,0.237095065,0.54770062,-0.079306146,0.903821883,3.314542276
YBL024W,0.573186693,0.163443171,-0.127214954,0.842317465,4.851010553
YBL025W,-0.252144797,0.639513878,-0.411956617,0.397082623,1.983355559
YBL026W,0.199707445,0.707263649,-0.367796426,0.434422843,4.401040857
YBL027W,0.43853441,0.419485917,-0.373901502,0.513640784,9.423725848
YBL028C,0.760053366,0.198373886,-0.313020878,0.677539536,4.23364811
YBL029C-A,-0.453874327,0.226231091,-0.204974447,0.662689883,3.814246564
YBL029W,0.011978204,1,0.186223037,0.708617253,3.210566799
YBL030C,1.424796977,6.54E-05,1.790907804,2.91E-07,9.687697327
YBL031W,0.358714758,0.573039644,-0.565124961,0.348401534,1.633463624
YBL032W,0.573733894,0.243782028,0.258492377,0.673221703,5.652001756
YBL033C,-0.600451906,0.090332573,-0.632840784,0.061462007,4.087828213
YBL034C,0.397275666,0.368398058,0.287935662,0.558169274,2.582608237
YBL035C,-0.911038216,0.002315451,-1.008907115,0.000624034,3.822409438
YBL036C,0.238366019,0.637905165,-0.279127764,0.585479788,4.591369231
YBL037W,0.710315504,0.068324826,1.043034747,0.003121496,3.464703695
YBL038W,0.386400341,0.364037138,-0.101360782,0.8884153,3.581897398
YBL039C,0.126827552,0.832232742,-0.471665852,0.275808678,6.392313363
YBL039C-A,0.044902284,1,0.456253419,1,-4.185514881
YBL039W-B,-0.063448137,0.972507377,0.146245325,0.859184948,2.091505285
YBL040C,0.160768481,0.75740077,0.150720364,0.792179525,6.975026758
YBL041W,0.027112174,1,-0.462287943,0.302398396,5.765860701
YBL042C,1.665539948,1.06E-06,1.473310748,2.42E-05,7.375406042
YBL043W,0.955118985,0.07813642,0.552565887,0.368366707,1.379358143
YBL044W,-3.67250952,1.06E-06,-2.007603071,0.005478172,-1.317627998
YBL045C,1.121413387,0.0015883,1.357683916,8.60E-05,6.418101051
YBL046W,0.228344881,0.699568831,-0.41605575,0.435870443,2.275800558
YBL047C,-0.411324603,0.466073691,0.425185483,0.453869411,8.041150306
YBL048W,1.092095495,0.022214125,1.80233197,3.63E-05,2.405066912
YBL049W,1.32788076,0.003672908,1.88926548,1.44E-05,3.865524076
YBL050W,-0.228267505,0.649193069,-0.630394566,0.110816979,5.025857484
YBL051C,1.271078201,0.002446747,0.767356599,0.092114574,3.778522725
YBL052C,0.99187395,0.027965424,0.090176747,0.929440922,2.279243303
YBL053W,0.228412973,0.857751273,-0.066735593,1,-0.775055363
YBL054W,0.616184448,0.171767656,-0.009805091,1,3.451112612
YBL055C,-0.433710201,0.231618204,-0.228331928,0.597581638,4.749885032
YBL056W,-0.064280018,0.938198398,0.118106599,0.852108822,6.68700984
YBL057C,-0.194051646,0.668463875,-0.485469443,0.185941966,5.29153529
YBL058W,-0.398400183,0.267320484,-0.763099687,0.013210252,5.092662042
YBL059C-A,0.137931749,0.788988024,-0.44399076,0.267861747,2.961952577
YBL059W,-0.172293599,0.732147692,-0.677045335,0.069101324,2.711021011
YBL060W,0.423109738,0.387440761,-0.186680518,0.768500443,2.563241208
YBL061C,0.414036939,0.273841618,-0.178493842,0.715769493,3.628317786
YBL062W,0.305432327,0.691828169,-0.150692805,0.928147881,-0.004666017
YBL063W,0.542381712,0.258171422,-0.115336739,0.896003516,2.072041627
YBL064C,0.443902945,0.344902953,0.458873895,0.326131586,5.545870072
YBL065W,0.576939277,0.711685245,-0.326116229,0.909896502,-2.88634819
YBL066C,1.526752012,7.98E-07,1.96587947,1.04E-10,4.081241662
YBL067C,0.271730875,0.483897913,0.234437703,0.570593137,4.259224116
YBL068W,-0.302148544,0.464347419,0.085760948,0.898661882,4.963109414
YBL068W-A,0.040474173,1,0.473882,0.935868683,-3.765506094
YBL069W,-0.395003184,0.263216666,0.147892576,0.744466922,4.411208536
YBL070C,0.142507784,0.885714507,-0.024955277,1,0.788271244
YBL071C,0.06333456,0.952436194,0.205708567,0.731488944,2.570666451
YBL071C-B,-0.424367269,0.78973398,-0.055808756,1,-2.951179522
YBL071W-A,-0.109772188,0.819886391,0.157904343,0.724388148,3.699310144
YBL072C,0.065421926,0.943330234,-0.101976227,0.891595826,9.6600959
YBL073W,0.06529833,1,-0.954400302,0.618396908,-3.276034164
YBL074C,-0.212924613,0.83090492,-0.809375796,0.281216631,0.959148425
YBL075C,-0.212665987,0.65491653,-0.277904078,0.546870827,3.669438369
YBL076C,-0.096141064,0.872890599,0.107586068,0.866211894,8.72781665
YBL077W,-0.786914346,0.155547505,0.065509065,0.9755191,4.362803552
YBL078C,0.29281627,0.621790466,0.301597285,0.628932844,2.398921257
YBL079W,0.32875439,0.453472569,0.787316526,0.029060485,5.266046567
YBL080C,0.3329811,0.577636408,0.018888913,1,1.612035841
YBL081W,0.772116269,0.033466616,0.939205729,0.005941752,5.747605485
YBL082C,-0.216152081,0.726121097,-0.158984581,0.827564386,7.91122924
YBL083C,0.263555268,0.76345726,0.005329549,1,0.566738773
YBL084C,0.966435558,0.004809913,0.905985812,0.008335291,2.932467559
YBL085W,0.867604539,0.037708319,0.155568892,0.812071091,3.247480811
YBL086C,0.886653944,0.073382019,0.2336604,0.734166954,2.098466781
YBL087C,0.240252037,0.636593538,0.253593158,0.631655589,9.195844632
YBL088C,-0.58115173,0.120402579,0.079680406,0.91404191,4.072163189
YBL089W,-0.212688173,0.670392634,0.057069214,0.96229846,6.149962396
YBL090W,0.311818083,0.427313467,-0.158592599,0.747569372,3.333209922
YBL091C,-0.714569858,0.05311389,-1.378764094,2.36E-05,5.989472739
YBL091C-A,-1.375281248,0.000216731,-0.921198619,0.019346198,4.368014353
YBL092W,0.430305349,0.440001357,0.145116704,0.86033804,8.862684876
YBL093C,0.102892772,0.836060373,-0.590139042,0.071793564,3.748941387
YBL094C,-0.514950189,0.355388861,0.617805082,0.23944242,1.093999994
YBL095W,-0.661189691,0.202247229,0.283789906,0.664275722,4.277398623
YBL096C,-0.95279533,0.091587595,-0.202063758,0.80696326,0.506776722
YBL097W,0.143848989,0.861962839,-0.54402674,0.34356902,0.908284833
YBL098W,-0.555490254,0.127859245,-0.509030806,0.161011066,4.402016753
YBL099W,1.067977886,0.00757078,1.287111479,0.000831193,9.427306193
YBL100C,1.255522018,0.003410862,1.209361847,0.004569109,6.090683761
YBL100W-A,-0.809815769,0.320767462,0.487961979,0.586949988,-0.595023441
